Movie_ID,Release_Year,Runtime_Min,Budget_Million,Votes,Metascore,Genre,Language,IMDb_Rating
1,2006,118,191,126789,63,Crime,Japanese,5.7
2,2019,179,188,684418,87,Adventure,Spanish,6.9
3,2014,112,63,705780,42,Romance,Spanish,5.5
4,2010,173,113,568178,49,Comedy,Hindi,5.5
5,2007,180,125,71017,61,Romance,English,5.7
6,2020,102,37,183376,80,Thriller,Korean,5.6
7,2006,89,185,693281,84,Horror,English,6.7
8,2018,148,154,504137,86,Sci-Fi,French,7.3
9,2022,179,25,661884,41,Comedy,French,5.4
10,2010,113,74,629712,37,Romance,Japanese,5.5
11,2010,131,116,806480,63,Horror,Hindi,6.3
12,2023,174,8,957615,78,Horror,Hindi,7.3
13,2020,89,98,698264,87,Romance,Hindi,6.4
14,2003,98,79,846344,58,Adventure,Japanese,6.4
15,2007,137,194,563296,94,Thriller,French,6.4
16,2023,175,66,398276,92,Drama,English,6.6
17,2002,80,98,735026,37,Thriller,Japanese,5.6
18,2021,148,99,612847,54,Romance,Japanese,6.3
19,2020,83,156,60337,80,Sci-Fi,English,5.5
20,2001,95,59,902048,49,Drama,Hindi,6.4
21,2023,103,141,280494,59,Comedy,Korean,5.5
22,2011,159,135,29354,64,Thriller,English,5
23,2005,81,35,50186,48,Romance,French,4.8
24,2001,171,44,557433,41,Thriller,Spanish,6
25,2020,111,40,432236,51,Drama,Spanish,5.3
26,2000,170,156,615411,78,Animation,Japanese,6.7
27,2011,163,10,504883,54,Crime,Spanish,5.5
28,2021,103,70,735546,70,Thriller,Korean,6.1
29,2011,91,79,745829,43,Comedy,Hindi,6.1
30,2024,129,8,549869,72,Comedy,French,5.9
31,2016,114,83,618217,82,Action,Korean,6.8
32,2009,112,138,290195,91,Thriller,French,6.8
33,2015,112,122,580762,94,Crime,French,6.9
34,2014,140,117,621036,56,Adventure,Hindi,5.8
35,2014,130,98,130995,88,Horror,Japanese,5.5
36,2018,122,183,250690,87,Crime,Spanish,6.2
37,2011,180,66,336770,87,Horror,Hindi,6.2
38,2022,91,189,798392,36,Horror,Korean,5.4
39,2019,146,198,433988,58,Animation,Japanese,5.8
